Google maps href,empresa_nombre_bruto,Estrella,Reseña,categoria_sugerida,direccion_bruta,Sitio Web,telefono_bruto
https://www.google.com/maps/place/SUCOVISA/data=!4m7!3m6!1s0x8f567440cb403de1:0x87be9db0df858139!8m2!3d21.0195136!4d-89.6510832!16s%2Fg%2F11r3zwvlwd!19sChIJ4T1Ay0B0Vo8ROYGF37Cdvoc?authuser=0&hl=es&rclk=1,SUCOVISA,"1,0",-1,Empresa constructora,C. 17,Sitio web,999 948 3044
https://www.google.com/maps/place/Cevilla+Constructora/data=!4m7!3m6!1s0x8f5677f0a423f271:0x46a754688579ad2b!8m2!3d21.0221218!4d-89.6020721!16s%2Fg%2F11kqgnhlt1!19sChIJcfIjpPB3Vo8RK615hWhUp0Y?authuser=0&hl=es&rclk=1,Cevilla Constructora,"5,0",-5,Empresa constructora,C. 22 497-por 47,Sitio web,999 638 7158
https://www.google.com/maps/place/Obras+MR/data=!4m7!3m6!1s0x8f5677ee9d1c613b:0xa96e788c0777b59e!8m2!3d21.0518188!4d-89.6215286!16s%2Fg%2F11p73xpd_d!19sChIJO2Ecne53Vo8RnrV3B4x4bqk?authuser=0&hl=es&rclk=1,Obras MR,"4,4",-15,Empresa constructora,·,Sitio web,999 331 4380
https://www.google.com/maps/place/KAVA+CONSTRUCCIONES+S.A.+DE+C.V./data=!4m7!3m6!1s0x8f567518aff283a9:0xc0e3a929946148b5!8m2!3d21.0668648!4d-89.6501776!16s%2Fg%2F11j53mpk8k!19sChIJqYPyrxh1Vo8RtUhhlCmp48A?authuser=0&hl=es&rclk=1,KAVA CONSTRUCCIONES S.A. DE C.V.,"4,4",-7,Constructor,"C. 59-E entre Calle 84A, Fraccionamiento Las Américas",Cómo llegar,999 114 0756
https://www.google.com/maps/place/DIMALTSA/data=!4m7!3m6!1s0x8f56730dee64d121:0x2c073f321029e183!8m2!3d20.9959869!4d-89.6659927!16s%2Fg%2F11fn1rxfk9!19sChIJIdFk7g1zVo8Rg-EpEDI_Byw?authuser=0&hl=es&rclk=1,DIMALTSA,"3,3",-3,Proveedor de materiales de construcción,Calle 51 #376A x 134 y 134A,Sitio web,999 285 4320
https://www.google.com/maps/place/Altorelieve+Construccion+Y+Mantenimiento/data=!4m7!3m6!1s0x8f5676af77bc11fb:0x9f0f11edb5a1e929!8m2!3d21.0089899!4d-89.6181925!16s%2Fg%2F11c61kw7v2!19sChIJ-xG8d692Vo8RKemhte0RD58?authuser=0&hl=es&rclk=1,Altorelieve Construccion Y Mantenimiento,"5,0",-1,Empresa de construcción,"Calle 7 262, entre 36 y 38",Sitio web,999 351 2104
"https://www.google.com/maps/place/PiR+Construcciones+%22Empresa+de+Mantenimiento,+Remodelaciones+y+Construccion%22/data=!4m7!3m6!1s0x8f5675a3a95c7593:0xb65fa14d1d29b4c0!8m2!3d21.0599363!4d-89.6755183!16s%2Fg%2F11h_btqddw!19sChIJk3VcqaN1Vo8RwLQpHU2hX7Y?authuser=0&hl=es&rclk=1","PiR Construcciones ""Empresa de Mantenimiento, Remodelaciones y Construccion""","4,4",-14,Empresa constructora,·,Sitio web,999 636 8284
https://www.google.com/maps/place/Servicios+de+Ingenier%C3%ADa+%26+Estructuras+-+Dise%C3%B1o+Estructural+-+Ingenier%C3%ADa+Estructural+-+C%C3%A1lculo+Estructural/data=!4m7!3m6!1s0x8f5673fa0b0b053b:0xe7f3e2b0853e4bc6!8m2!3d20.997143!4d-89.6504015!16s%2Fg%2F11c1wydrtx!19sChIJOwULC_pzVo8Rxks-hbDi8-c?authuser=0&hl=es&rclk=1,Servicios de Ingeniería & Estructuras - Diseño Estructural - Ingeniería Estructural - Cálculo Estructural,"4,9",-31,Ingeniero estructural,"C. 5 LT F 405, entre calle 46 y calle 48",Cómo llegar,999 234 3868
https://www.google.com/maps/place/Constructora+Valcasa/data=!4m7!3m6!1s0x8f56713fe01fa00b:0xc911d35be4062808!8m2!3d21.0222053!4d-89.6074371!16s%2Fg%2F11j7z0yxqm!19sChIJC6Af4D9xVo8RCCgG5FvTEck?authuser=0&hl=es&rclk=1,Constructora Valcasa,"3,9",-14,Agencia inmobiliaria,·,Sitio web,999 942 0291
https://www.google.com/maps/place/BILDR+Despacho+Constructor/data=!4m7!3m6!1s0x8f567750f55a16cf:0xbd7cc993d116250b!8m2!3d21.0117994!4d-89.6098984!16s%2Fg%2F11h274pzc_!19sChIJzxZa9VB3Vo8RCyUW0ZPJfL0?authuser=0&hl=es&rclk=1,BILDR Despacho Constructor,"5,0",-7,Empresa constructora,26 num 353 entre 29 y 31 Depto. 2 Col,Sitio web,999 374 1843
https://www.google.com/maps/place/TDC+Taller+de+Construcci%C3%B3n/data=!4m7!3m6!1s0x8f5676aba71fbcf3:0xc51fb9dd5a24cca5!8m2!3d20.9956734!4d-89.6116206!16s%2Fg%2F11j7z3c4yn!19sChIJ87wfp6t2Vo8RpcwkWt25H8U?authuser=0&hl=es&rclk=1,TDC Taller de Construcción,"5,0",-18,Empresa constructora,C. 15 101,Sitio web,999 422 4037
https://www.google.com/maps/place/Grupo+Kaua+M%C3%A9rida/data=!4m7!3m6!1s0x8f56714ed3290e2b:0x5dfe8cf9e507a6af!8m2!3d20.9894973!4d-89.6110018!16s%2Fg%2F1ptylqfyz!19sChIJKw4p005xVo8Rr6YH5fmM_l0?authuser=0&hl=es&rclk=1,Grupo Kaua Mérida,"4,7",-6,Empresa constructora,·,Sitio web,999 926 2021
https://www.google.com/maps/place/Roken+Constructora+S.+de+R.L.+de+C.V./data=!4m7!3m6!1s0x8f56711bfa6e4037:0x9f9ffa3999374e56!8m2!3d20.9957582!4d-89.6113927!16s%2Fg%2F11fjz36rkm!19sChIJN0Bu-htxVo8RVk43mTn6n58?authuser=0&hl=es&rclk=1,Roken Constructora S. de R.L. de C.V.,"5,0",-4,Empresa constructora,C. 15 101a,Sitio web,999 287 2076
https://www.google.com/maps/place/Construcasa/data=!4m7!3m6!1s0x8f567153b861599f:0x741e7f62d39a45d5!8m2!3d20.9937455!4d-89.6186247!16s%2Fg%2F1th1w355!19sChIJn1lhuFNxVo8R1UWa02J_HnQ?authuser=0&hl=es&rclk=1,Construcasa,"4,2",-19,Empresa constructora,C. 23 486,Cómo llegar,999 920 1255
https://www.google.com/maps/place/Concreplus+Dzity%C3%A1/data=!4m7!3m6!1s0x8f567504828a2129:0x1161276b12ddf1fc!8m2!3d21.0583031!4d-89.6728802!16s%2Fg%2F11c574_1c1!19sChIJKSGKggR1Vo8R_PHdEmsnYRE?authuser=0&hl=es&rclk=1,Concreplus Dzityá,"4,5",-18,Empresa constructora,Perif. - San Antonio Ool,Sitio web,938 261 6606
https://www.google.com/maps/place/Ortico+Constructora+e+Inmobiliaria/data=!4m7!3m6!1s0x8f5673ee6b9bfd69:0x111e9fec3e98329e!8m2!3d21.0184412!4d-89.6072483!16s%2Fg%2F11frly10m0!19sChIJaf2ba-5zVo8RnjKYPuyfHhE?authuser=0&hl=es&rclk=1,Ortico Constructora e Inmobiliaria,"4,0",-5,Constructor de casas personalizadas,Av. Andrés García Lavín,Sitio web,999 774 0016
https://www.google.com/maps/place/%C3%81GUILA+CONSTRUCTORA+DEL+SURESTE+S.A.+DE+C.V./data=!4m7!3m6!1s0x8f5670ba23d8a4a1:0x4a0a91d7b4f8b5db!8m2!3d21.0312333!4d-89.5862667!16s%2Fg%2F11bbx0n72h!19sChIJoaTYI7pwVo8R27X4tNeRCko?authuser=0&hl=es&rclk=1,ÁGUILA CONSTRUCTORA DEL SURESTE S.A. DE C.V.,"4,2",-10,Empresa constructora,"C. 2, Montecarlo",Cómo llegar,999 941 8005
https://www.google.com/maps/place/MAC+PENINSULAR+%28Maderas+Acabados+Y+Construcci%C3%B3n+Peninsular%29/data=!4m7!3m6!1s0x8f5676d142e2c827:0x72ae86323d32a78e!8m2!3d21.0046897!4d-89.5932495!16s%2Fg%2F1v9413c3!19sChIJJ8jiQtF2Vo8RjqcyPTKGrnI?authuser=0&hl=es&rclk=1,MAC PENINSULAR (Maderas Acabados Y Construcción Peninsular),"4,7",-27,Empresa constructora,C. 8 382,Sitio web,999 943 9080
https://www.google.com/maps/place/Viva+Residencial/data=!4m7!3m6!1s0x8f5676a3085befaf:0xc5a25d1fbc0700a9!8m2!3d21.0179544!4d-89.6179895!16s%2Fg%2F11f40yrvjm!19sChIJr-9bCKN2Vo8RqQAHvB9dosU?authuser=0&hl=es&rclk=1,Viva Residencial,"4,3",-6,Empresa constructora,"Espacios Ejecutivos, C. 42 308",Sitio web,999 100 0464
https://www.google.com/maps/place/NOVARAT+S.A.+DE+C.V./data=!4m7!3m6!1s0x8f5673826cea8513:0xc845775ead40242c!8m2!3d20.954225!4d-89.6525708!16s%2Fg%2F11h4d31y75!19sChIJE4XqbIJzVo8RLCRArV53Rcg?authuser=0&hl=es&rclk=1,NOVARAT S.A. DE C.V.,"4,5",-10,Empresa constructora,·,Cómo llegar,999 490 1096
